symbol,banker_name,co_code,company_name,exchange,beta,mes,vulnerable,type,time,count,nskew,duvol,ic_count,ic_nskew,ic_duvol,roa,leverage,nic_prod_code
SBIN.NS,STATE BANK OF INDIA,8909,AJANTA SOYA LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.712051984,-0.70307413,-1,-0.889029631,-0.428808153,-0.4439,0.6635,10
SBIN.NS,STATE BANK OF INDIA,8909,AJANTA SOYA LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.425130187,-0.192941932,-1,-0.889029631,-0.428808153,-0.4439,0.6635,10
SBIN.NS,STATE BANK OF INDIA,24496,AKSHARCHEM (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.761244959,-0.68030338,0,-0.255193764,-0.08994898,12.1641,0,20
SBIN.NS,STATE BANK OF INDIA,24496,AKSHARCHEM (INDIA) LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-0.512839226,-0.214879961,0,-0.255193764,-0.08994898,12.1641,0,20
SBIN.NS,STATE BANK OF INDIA,10376,ALBERT DAVID LTD.,BSE,0.247401023,0.00161674,1,Public,1,-3,-1.678052994,-0.980476466,-3,-1.144787085,-0.85409351,2.8025,0.1488,21
SBIN.NS,STATE BANK OF INDIA,10376,ALBERT DAVID LTD.,NSE,0.247401023,0.00161674,1,Public,0,1,-0.081847173,-0.473449324,-3,-1.144787085,-0.85409351,2.8025,0.1488,21
SBIN.NS,STATE BANK OF INDIA,10674,ALFA ICA (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.070882141,0.046900445,0,0.087347808,-0.077824425,3.7143,0.9444,22
SBIN.NS,STATE BANK OF INDIA,10674,ALFA ICA (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.101218542,-0.256060958,0,0.087347808,-0.077824425,3.7143,0.9444,22
SBIN.NS,STATE BANK OF INDIA,10714,ALFA TRANSFORMERS LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.219125136,-0.696217965,0,-0.334784381,-0.294492365,-6.7465,0.5202,27
SBIN.NS,STATE BANK OF INDIA,10714,ALFA TRANSFORMERS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.38277522,-0.194545779,0,-0.334784381,-0.294492365,-6.7465,0.5202,27
SBIN.NS,STATE BANK OF INDIA,10872,ALKALI METALS LTD.,BSE,0.247401023,0.00161674,1,Public,1,-2,-1.333250511,-0.850035575,-2,-1.124728011,-0.944440713,1.3348,0.3577,20
SBIN.NS,STATE BANK OF INDIA,10872,ALKALI METALS LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-0.616664921,-0.531975746,-2,-1.124728011,-0.944440713,1.3348,0.3577,20
SBIN.NS,STATE BANK OF INDIA,10903,ALKYL AMINES CHEMICALS LTD.,BSE,0.247401023,0.00161674,1,Public,1,-2,-1.251208766,-0.667537266,-1,-0.267195853,-0.294585257,9.9249,0.61,20
SBIN.NS,STATE BANK OF INDIA,10903,ALKYL AMINES CHEMICALS LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-2.210153535,-1.008835671,-1,-0.267195853,-0.294585257,9.9249,0.61,20
SBIN.NS,STATE BANK OF INDIA,11853,ALPHAGEO (INDIA) LTD.,NSE,0.247401023,0.00161674,1,Public,0,2,1.735420048,0.358497599,-1,-0.991831543,-0.749000395,15.6271,0.226,43
SBIN.NS,STATE BANK OF INDIA,11853,ALPHAGEO (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,1,-3,-1.41986036,-1.05994037,-1,-0.991831543,-0.749000395,15.6271,0.226,43
SBIN.NS,STATE BANK OF INDIA,12517,AMARA RAJA BATTERIES LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-1.177972628,-0.53759179,0,0.71248876,0.248715523,11.9684,0.0217,27
SBIN.NS,STATE BANK OF INDIA,12517,AMARA RAJA BATTERIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.072807431,-0.071018479,0,0.71248876,0.248715523,11.9684,0.0217,27
SBIN.NS,STATE BANK OF INDIA,504951,AMIN TANNERY LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.034966947,0.160777281,0,0.362557972,0.517801464,2.0958,2.0339,15
SBIN.NS,STATE BANK OF INDIA,504951,AMIN TANNERY LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.38144023,0.172935948,0,0.362557972,0.517801464,2.0958,2.0339,15
