symbol,banker_name,co_code,company_name,exchange,beta,mes,vulnerable,type,time,count,nskew,duvol,ic_count,ic_nskew,ic_duvol
SBIN.NS,STATE BANK OF INDIA,361289,AISHWARYA TECHNOLOGIES & TELECOM LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.1365632493438572,-0.2719960696260918,0,-0.06400137765402814,0.4939373516134748
SBIN.NS,STATE BANK OF INDIA,8909,AJANTA SOYA LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.42513018668672703,-0.19294193167569199,-1,-0.8890296313940664,-0.4288081534903531
SBIN.NS,STATE BANK OF INDIA,8909,AJANTA SOYA LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.7120519835895648,-0.7030741299093486,-1,-0.8890296313940664,-0.4288081534903531
SBIN.NS,STATE BANK OF INDIA,24496,AKSHARCHEM (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.7612449588072906,-0.6803033798336339,0,-0.2551937642290411,-0.08994897999639126
SBIN.NS,STATE BANK OF INDIA,24496,AKSHARCHEM (INDIA) LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-0.5128392256835362,-0.21487996052816805,0,-0.2551937642290411,-0.08994897999639126
SBIN.NS,STATE BANK OF INDIA,10376,ALBERT DAVID LTD.,NSE,0.247401023,0.00161674,1,Public,0,1,-0.08184717258323145,-0.47344932409347,-3,-1.1447870852640023,-0.8540935104719103
SBIN.NS,STATE BANK OF INDIA,10376,ALBERT DAVID LTD.,BSE,0.247401023,0.00161674,1,Public,1,-3,-1.6780529944983957,-0.9804764660322296,-3,-1.1447870852640023,-0.8540935104719103
SBIN.NS,STATE BANK OF INDIA,10674,ALFA ICA (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.10121854206899386,-0.2560609577698833,0,0.08734780784839924,-0.07782442456196437
SBIN.NS,STATE BANK OF INDIA,10674,ALFA ICA (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.07088214134220058,0.04690044452140939,0,0.08734780784839924,-0.07782442456196437
SBIN.NS,STATE BANK OF INDIA,10714,ALFA TRANSFORMERS LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.21912513594382246,-0.6962179649230636,0,-0.33478438119710746,-0.2944923648223836
SBIN.NS,STATE BANK OF INDIA,10714,ALFA TRANSFORMERS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.3827752199678656,-0.19454577938729925,0,-0.33478438119710746,-0.2944923648223836
SBIN.NS,STATE BANK OF INDIA,10872,ALKALI METALS LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-0.6166649207819942,-0.531975745533122,-2,-1.1247280105688224,-0.9444407129974783
SBIN.NS,STATE BANK OF INDIA,10872,ALKALI METALS LTD.,BSE,0.247401023,0.00161674,1,Public,1,-2,-1.3332505106692476,-0.8500355749911406,-2,-1.1247280105688224,-0.9444407129974783
SBIN.NS,STATE BANK OF INDIA,10903,ALKYL AMINES CHEMICALS LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-2.210153535398822,-1.0088356707115635,-1,-0.26719585344478436,-0.294585256909893
SBIN.NS,STATE BANK OF INDIA,10903,ALKYL AMINES CHEMICALS LTD.,BSE,0.247401023,0.00161674,1,Public,1,-2,-1.2512087662629512,-0.6675372659899721,-1,-0.26719585344478436,-0.294585256909893
SBIN.NS,STATE BANK OF INDIA,11853,ALPHAGEO (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,1,-3,-1.4198603600605408,-1.0599403703564776,-1,-0.9918315432291085,-0.749000394742214
SBIN.NS,STATE BANK OF INDIA,11853,ALPHAGEO (INDIA) LTD.,NSE,0.247401023,0.00161674,1,Public,0,2,1.7354200482802715,0.35849759881997784,-1,-0.9918315432291085,-0.749000394742214
SBIN.NS,STATE BANK OF INDIA,12517,AMARA RAJA BATTERIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.07280743094757976,-0.0710184790918033,0,0.712488759590799,0.24871552341768993
SBIN.NS,STATE BANK OF INDIA,12517,AMARA RAJA BATTERIES LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-1.1779726280571172,-0.5375917903285649,0,0.712488759590799,0.24871552341768993
SBIN.NS,STATE BANK OF INDIA,504951,AMIN TANNERY LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.38144023013293515,0.17293594823703043,0,0.3625579724397504,0.5178014638905565
