banker_name,co_code,company_name,bnkhist_date
CANARA BANK,273056,PRISM MEDICO & PHARMACY LTD.,31-03-2020
CANARA BANK,403303,PRITIKA AUTO INDS. LTD.,31-03-2020
CANARA BANK,182465,PROCAL ELECTRONICS INDIA LTD.,31-03-2020
CANARA BANK,185084,QUEST FINANCIAL SERVICES LTD.,31-03-2020
CANARA BANK,190071,RAJ TELEVISION NETWORK LTD.,31-03-2020
CANARA BANK,190998,RAJESH EXPORTS LTD.,31-03-2020
CANARA BANK,192547,RAMA STEEL TUBES LTD.,31-03-2020
CANARA BANK,192560,RAMA VISION LTD.,31-03-2020
CANARA BANK,134435,RAMCO CEMENTS LTD.,31-03-2020
CANARA BANK,367383,RANE (MADRAS) LTD.,31-03-2020
CANARA BANK,27747,RELIANCE INFRASTRUCTURE LTD.,31-03-2020
CANARA BANK,197787,RICHIRICH INVENTURES LTD.,31-03-2020
CANARA BANK,198383,RISHI TECHTEX LTD.,31-03-2020
CANARA BANK,453496,RITHWIK FACILITY MGMT. SERVICES LTD.,31-03-2020
CANARA BANK,203743,S M C CREDITS LTD.,31-03-2020
CANARA BANK,244495,S M L ISUZU LTD.,31-03-2020
CANARA BANK,208942,SALZER ELECTRONICS LTD.,31-03-2020
CANARA BANK,212286,SAPTARISHI AGRO INDS. LTD.,31-03-2020
CANARA BANK,213798,SATHAVAHANA ISPAT LTD.,31-03-2020
CANARA BANK,215900,SEASONS TEXTILES LTD.,31-03-2020
CANARA BANK,216993,SESHASAYEE PAPER & BOARDS LTD.,31-03-2020
CANARA BANK,16635,SHIVA TEXYARN LTD.,31-03-2020
CANARA BANK,227082,SIKA INTERPLANT SYSTEMS LTD.,31-03-2020
CANARA BANK,227234,SILICON VALLEY INFOTECH LTD.,31-03-2020
CANARA BANK,228600,SITA ENTERPRISES LTD.,31-03-2020
CANARA BANK,232583,SPECIALITY PAPERS LTD.,31-03-2020
CANARA BANK,236775,STERLING GREEN WOODS LTD.,31-03-2020
CANARA BANK,239274,SUMEDHA FISCAL SERVICES LTD.,31-03-2020
CANARA BANK,242314,SURAJ PRODUCTS LTD.,31-03-2020
CANARA BANK,244037,SUYOG TELEMATICS LTD.,31-03-2020
CANARA BANK,244486,SWARAJ ENGINES LTD.,31-03-2020
CANARA BANK,246538,T T K PRESTIGE LTD.,31-03-2020
CANARA BANK,246634,T V TODAY NETWORK LTD.,31-03-2020
CANARA BANK,247825,TARAPUR TRANSFORMERS LTD.,31-03-2020
CANARA BANK,338739,TARMAT LTD.,31-03-2020
CANARA BANK,405168,TINNA TRADE LTD.,31-03-2020
CANARA BANK,251664,TITAN COMPANY LTD.,31-03-2020
CANARA BANK,265392,TREND ELECTRONICS LTD.,31-03-2020
CANARA BANK,255175,TULSYAN N E C LTD.,31-03-2020
CANARA BANK,73840,UFLEX LTD.,31-03-2020
CANARA BANK,258035,UNIPHOS ENTERPRISES LTD.,31-03-2020
CANARA BANK,484025,UNIVASTU INDIA LTD.,31-03-2020
CANARA BANK,260713,V R WOODART LTD.,31-03-2020
CANARA BANK,260931,V S T TILLERS TRACTORS LTD.,31-03-2020
CANARA BANK,262626,VARDHMAN POLYTEX LTD.,31-03-2020
CANARA BANK,58353,VELJAN DENISON LTD.,31-03-2020
CANARA BANK,268340,VIRINCHI LTD.,31-03-2020
CANARA BANK,80028,VIRYA RESOURCES LTD.,31-03-2020
CANARA BANK,348313,VIVO BIO TECH LTD.,31-03-2020
CANARA BANK,271228,WELCAST STEELS LTD.,31-03-2020
CANARA BANK,272666,WINSOME YARNS LTD.,31-03-2020
CANARA BANK,273872,YARN SYNDICATE LTD.,31-03-2020
CANARA BANK,275222,ZENITH EXPORTS LTD.,31-03-2020
CENTRAL BANK OF INDIA,561684,7NR RETAIL LTD.,31-03-2020
CENTRAL BANK OF INDIA,380640,ABHISHEK FINLEASE LTD.,31-03-2020
CENTRAL BANK OF INDIA,24106,ATLAS CYCLES (HARYANA) LTD.,31-03-2020
CENTRAL BANK OF INDIA,26365,B D H INDUSTRIES LTD.,31-03-2020
CENTRAL BANK OF INDIA,28897,BAJAJ FINANCE LTD.,31-03-2020
CENTRAL BANK OF INDIA,32147,BENGAL & ASSAM CO. LTD.,31-03-2020
CENTRAL BANK OF INDIA,34799,BHILWARA SPINNERS LTD.,31-03-2020
CENTRAL BANK OF INDIA,35793,BIMETAL BEARINGS LTD.,31-03-2020
CENTRAL BANK OF INDIA,39590,BURNPUR CEMENT LTD.,31-03-2020
CENTRAL BANK OF INDIA,47834,CINEVISTA LTD.,31-03-2020
CENTRAL BANK OF INDIA,66917,ELGI EQUIPMENTS LTD.,31-03-2020
CENTRAL BANK OF INDIA,438312,EURO INDIA FRESH FOODS LTD.,31-03-2020
CENTRAL BANK OF INDIA,73325,FINOLEX CABLES LTD.,31-03-2020
CENTRAL BANK OF INDIA,74157,FLUIDOMAT LTD.,31-03-2020
CENTRAL BANK OF INDIA,75782,FUTURISTIC SECURITIES LTD.,31-03-2020
CENTRAL BANK OF INDIA,76626,G M BREWERIES LTD.,31-03-2020
CENTRAL BANK OF INDIA,77423,G T N INDUSTRIES LTD.,31-03-2020
CENTRAL BANK OF INDIA,370620,G T N TEXTILES LTD.,31-03-2020
CENTRAL BANK OF INDIA,83010,GODREJ AGROVET LTD.,31-03-2020
CENTRAL BANK OF INDIA,83018,GODREJ INDUSTRIES LTD.,31-03-2020
CENTRAL BANK OF INDIA,224210,GOLDEN CREST EDUCATION & SERVICES LTD.,31-03-2020
CENTRAL BANK OF INDIA,83911,GOLDSTONE TECHNOLOGIES LTD.,31-03-2020
CENTRAL BANK OF INDIA,86750,GUJARAT INDUSTRIES POWER CO. LTD.,31-03-2020
CENTRAL BANK OF INDIA,90805,HARMONY CAPITAL SERVICES LTD.,31-03-2020
CENTRAL BANK OF INDIA,94049,HINDUSTAN HOUSING CO. LTD.,31-03-2020
CENTRAL BANK OF INDIA,96877,I P RINGS LTD.,31-03-2020
CENTRAL BANK OF INDIA,464432,INDIA GREEN REALITY LTD.,31-03-2020
CENTRAL BANK OF INDIA,98870,INDIAN LINK CHAIN MFRS. LTD.,31-03-2020
CENTRAL BANK OF INDIA,105523,JAGRAN PRAKASHAN LTD.,31-03-2020
CENTRAL BANK OF INDIA,108391,JAYANT AGRO-ORGANICS LTD.,31-03-2020
CENTRAL BANK OF INDIA,112324,K L G CAPITAL SERVICES LTD.,31-03-2020
CENTRAL BANK OF INDIA,113102,K S B LTD.,31-12-2019
CENTRAL BANK OF INDIA,119071,KEMP & CO. LTD.,31-03-2020
CENTRAL BANK OF INDIA,121038,KIRAN PRINT-PACK LTD.,31-03-2020
CENTRAL BANK OF INDIA,124459,KUMBHAT FINANCIAL SERVICES LTD.,31-03-2020
CENTRAL BANK OF INDIA,126400,LAKSHMI MILLS CO. LTD.,31-03-2020
CENTRAL BANK OF INDIA,129991,LOYAL TEXTILE MILLS LTD.,31-03-2020
CENTRAL BANK OF INDIA,7077,LUDLOW JUTE & SPECIALITIES LTD.,31-03-2020
CENTRAL BANK OF INDIA,148689,MONEY MASTERS LEASING & FINANCE LTD.,31-03-2020
CENTRAL BANK OF INDIA,150128,MUKAND ENGINEERS LTD. [MERGED],31-03-2020
CENTRAL BANK OF INDIA,172700,PATSPIN INDIA LTD.,31-03-2020
CENTRAL BANK OF INDIA,174449,PERMANENT MAGNETS LTD.,31-03-2020
CENTRAL BANK OF INDIA,215839,POLO QUEEN INDL. & FINTECH LTD.,31-03-2020
CENTRAL BANK OF INDIA,564271,POOJAWESTERN METALIKS LTD.,31-03-2020
CENTRAL BANK OF INDIA,177248,POONA DAL & OIL INDS. LTD.,31-03-2020
CENTRAL BANK OF INDIA,179803,PRATIK PANELS LTD.,31-03-2020
CENTRAL BANK OF INDIA,181676,PRIME URBAN DEVP. INDIA LTD.,31-03-2020
CENTRAL BANK OF INDIA,196130,REGAL ENTERTAINMENT & CONSULTANTS LTD.,31-03-2020
CENTRAL BANK OF INDIA,204439,S P CAPITAL FINANCING LTD.,31-03-2020
CENTRAL BANK OF INDIA,171243,SAFAL HERBS LTD.,31-03-2020
CENTRAL BANK OF INDIA,213338,SARVAMANGAL MERCANTILE CO. LTD.,31-03-2020
CENTRAL BANK OF INDIA,214613,SAURASHTRA CEMENT LTD.,31-03-2020
CENTRAL BANK OF INDIA,214742,SAVERA INDUSTRIES LTD.,31-03-2020
CENTRAL BANK OF INDIA,235282,SEYA INDUSTRIES LTD.,31-03-2020
CENTRAL BANK OF INDIA,204448,SHREE GANESH BIO-TECH (INDIA) LTD.,31-03-2020
CENTRAL BANK OF INDIA,222566,SHREE GANESH ELASTOPLAST LTD.,31-03-2020
CENTRAL BANK OF INDIA,242022,SUPREME INDUSTRIES LTD.,31-03-2020
CENTRAL BANK OF INDIA,249693,TERAI TEA CO. LTD.,31-03-2020
CENTRAL BANK OF INDIA,256459,UGAR SUGAR WORKS LTD.,31-03-2020
CENTRAL BANK OF INDIA,258019,UNITED NILGIRI TEA ESTATES CO. LTD.,31-03-2020
CENTRAL BANK OF INDIA,547918,VEERAM SECURITIES LTD.,31-03-2020
CENTRAL BANK OF INDIA,269714,VIVID MERCANTILE LTD.,31-03-2020
CENTRAL BANK OF INDIA,271695,WEST COAST PAPER MILLS LTD.,31-03-2020
CITY UNION BANK LTD.,6348,ADITYA ISPAT LTD.,31-03-2020
CITY UNION BANK LTD.,236924,B & B REALTY LTD.,31-03-2020
CITY UNION BANK LTD.,48389,CLASSIC FILAMENTS LTD.,31-03-2020
CITY UNION BANK LTD.,80259,GEEKAY WIRES LTD.,31-03-2020
CITY UNION BANK LTD.,161421,NORRIS MEDICINES LTD.,31-03-2020
CITY UNION BANK LTD.,163406,OLYMPIC CARDS LTD.,31-03-2020
CITY UNION BANK LTD.,158220,PERFECT-OCTAVE MEDIA PROJECTS LTD.,31-03-2020
CITY UNION BANK LTD.,176994,POLYSPIN EXPORTS LTD.,31-03-2020
CITY UNION BANK LTD.,329157,RACE ECO CHAIN LTD.,31-03-2020
D C B BANK LTD.,26647,B I T S LTD.,31-03-2020
D C B BANK LTD.,42997,CAT TECHNOLOGIES LTD.,31-03-2020
D C B BANK LTD.,65851,ECONO TRADE (INDIA) LTD.,31-03-2020
D C B BANK LTD.,99529,INDOWIND ENERGY LTD.,31-03-2020
D C B BANK LTD.,237939,INDUS FINANCE LTD.,31-03-2020
D C B BANK LTD.,204890,PAN INDIA CORPN. LTD.,31-03-2020
D C B BANK LTD.,232906,SPENTA INTERNATIONAL LTD.,31-03-2020
DHANLAXMI BANK LTD.,260304,AVANCE TECHNOLOGIES LTD.,31-03-2020
DHANLAXMI BANK LTD.,268942,K D LEISURES LTD.,31-03-2020
FEDERAL BANK LTD.,252985,ACCEL LTD.,31-03-2020
FEDERAL BANK LTD.,218112,ARIHANT SUPERSTRUCTURES LTD.,31-03-2020
FEDERAL BANK LTD.,26990,B L S INFOTECH LTD.,31-03-2020
FEDERAL BANK LTD.,36711,BLISS G V S PHARMA LTD.,31-03-2020
FEDERAL BANK LTD.,44042,CIGNITI TECHNOLOGIES LTD.,31-03-2020
FEDERAL BANK LTD.,49957,COMPUTER POINT LTD.,31-03-2020
FEDERAL BANK LTD.,62421,DOLPHIN MEDICAL SERVICES LTD.,31-03-2020
FEDERAL BANK LTD.,65525,EASTERN TREADS LTD.,31-03-2020
FEDERAL BANK LTD.,74386,FORBES & CO. LTD.,31-03-2020
FEDERAL BANK LTD.,95994,H I L LTD.,31-03-2020
FEDERAL BANK LTD.,102677,IRIS BUSINESS SERVICES LTD.,31-03-2020
FEDERAL BANK LTD.,131505,IRONWOOD EDUCATION LTD.,31-03-2020
FEDERAL BANK LTD.,116626,KAPIL COTEX LTD.,31-03-2020
FEDERAL BANK LTD.,552799,MAXIMUS INTERNATIONAL LTD.,31-03-2020
FEDERAL BANK LTD.,161779,NOURITRANS EXIM LTD.,31-03-2020
FEDERAL BANK LTD.,175130,PHYTO CHEM (INDIA) LTD.,31-03-2020
FEDERAL BANK LTD.,185861,R M C SWITCHGEARS LTD.,31-03-2020
FEDERAL BANK LTD.,197304,RESPONSE INFORMATICS LTD.,31-03-2020
FEDERAL BANK LTD.,219108,SHARAT INDUSTRIES LTD.,31-03-2020
FEDERAL BANK LTD.,238599,SUJALA TRADING & HOLDINGS LTD.,31-03-2020
FEDERAL BANK LTD.,251860,TOKYO PLAST INTL. LTD.,31-03-2020
FEDERAL BANK LTD.,257655,UNIROYAL MARINE EXPORTS LTD.,31-03-2020
FEDERAL BANK LTD.,571928,VERTOZ ADVERTISING LTD.,31-03-2020
H D F C BANK LTD.,78685,A B COTSPIN INDIA LTD.,31-03-2020
H D F C BANK LTD.,666,A C I INFOCOM LTD.,31-03-2020
H D F C BANK LTD.,485275,A K G EXIM LTD.,31-03-2020
H D F C BANK LTD.,583200,A-1 ACID LTD.,31-03-2020
H D F C BANK LTD.,589116,AARON INDUSTRIES LTD.,31-03-2020
H D F C BANK LTD.,3972,AARTECH SOLONICS LTD.,31-03-2020
H D F C BANK LTD.,180583,ACE ENGITECH LTD.,31-03-2020
H D F C BANK LTD.,529902,ACEWIN AGRITECK LTD.,31-03-2020
H D F C BANK LTD.,139583,ACME RESOURCES LTD.,31-03-2020
H D F C BANK LTD.,5574,ACRYSIL LTD.,31-03-2020
H D F C BANK LTD.,389247,ADANI TOTAL GAS LTD.,31-03-2020
H D F C BANK LTD.,6136,ADINATH EXIM RESOURCES LTD.,31-03-2020
H D F C BANK LTD.,640830,ADISHAKTI LOHA & ISPAT LTD.,31-03-2020
H D F C BANK LTD.,6584,ADOR FONTECH LTD.,31-03-2020
H D F C BANK LTD.,6923,ADOR WELDING LTD.,31-03-2020
H D F C BANK LTD.,49194,ADROIT INFOTECH LTD.,31-03-2020
H D F C BANK LTD.,7068,AEGIS LOGISTICS LTD.,31-03-2020
H D F C BANK LTD.,249245,AFFLE (INDIA) LTD.,31-03-2020
H D F C BANK LTD.,8378,AHMEDABAD STEELCRAFT LTD.,31-03-2020
H D F C BANK LTD.,223270,AJMERA REALTY & INFRA INDIA LTD.,31-03-2020
H D F C BANK LTD.,10231,ALANG MARINE LTD.,31-03-2020
H D F C BANK LTD.,169297,ALCHEMIST REALTY LTD.,31-03-2020
H D F C BANK LTD.,94016,ALGOQUANT FINTECH LTD.,31-03-2020
H D F C BANK LTD.,10867,ALKA INDIA LTD.,31-03-2020
H D F C BANK LTD.,11262,ALMONDZ GLOBAL SECURITIES LTD.,31-03-2020
H D F C BANK LTD.,11599,ALOK INDUSTRIES LTD.,31-03-2020
H D F C BANK LTD.,11961,ALPS MOTOR FINANCE LTD.,31-03-2020
H D F C BANK LTD.,12709,AMBA ENTERPRISES LTD.,31-03-2020
H D F C BANK LTD.,13993,AMRAPALI CAPITAL & FINANCE SERVICES LTD.,31-03-2020
H D F C BANK LTD.,86815,AMRAWORLD AGRICO LTD.,31-03-2020
H D F C BANK LTD.,14204,AMRUTANJAN HEALTH CARE LTD.,31-03-2020
H D F C BANK LTD.,492072,AMSONS APPARELS LTD.,31-03-2020
H D F C BANK LTD.,14592,ANAND PROJECTS LTD.,31-03-2020
H D F C BANK LTD.,413595,ANAND RAYONS LTD.,31-03-2020
H D F C BANK LTD.,16191,ANJANI PORTLAND CEMENT LTD.,31-03-2020
H D F C BANK LTD.,16541,ANMOL INDIA LTD.,31-03-2020
H D F C BANK LTD.,397895,ANUBHAV INFRASTRUCTURE LTD.,31-03-2020
H D F C BANK LTD.,17206,ANUH PHARMA LTD.,31-03-2020
H D F C BANK LTD.,262363,ANUPAM FINSERV LTD.,31-03-2020
H D F C BANK LTD.,18139,APOLLO SINDOORI HOTELS LTD.,31-03-2020
H D F C BANK LTD.,18396,APTECH LTD.,31-03-2020
H D F C BANK LTD.,19528,ARIHANT FOUNDATIONS & HOUSING LTD.,31-03-2020
H D F C BANK LTD.,547454,ART NIRMAN LTD.,31-03-2020
H D F C BANK LTD.,371189,ARTEMIS MEDICARE SERVICES LTD.,31-03-2020
H D F C BANK LTD.,20806,ARUNA HOTELS LTD.,31-03-2020
H D F C BANK LTD.,21575,ASHAPURA MINECHEM LTD.,31-03-2020
H D F C BANK LTD.,21663,ASHIANA HOUSING LTD.,31-03-2020
H D F C BANK LTD.,21688,ASHIKA CREDIT CAPITAL LTD.,31-03-2020
H D F C BANK LTD.,21728,ASHIRWAD CAPITAL LTD.,31-03-2020
H D F C BANK LTD.,22800,ASIAN FERTILIZERS LTD.,31-03-2020
H D F C BANK LTD.,517340,ATHENA CONSTRUCTIONS LTD.,31-03-2020
H D F C BANK LTD.,380323,AURANGABAD DISTILLERY LTD.,31-03-2020
H D F C BANK LTD.,510946,AURUM PROPTECH LTD.,31-03-2020
H D F C BANK LTD.,51112,AUSOM ENTERPRISE LTD.,31-03-2020
H D F C BANK LTD.,24969,AUTOMOBILE PRODUCTS OF INDIA LTD.,31-03-2020
H D F C BANK LTD.,24976,AUTOMOTIVE AXLES LTD.,31-03-2020
H D F C BANK LTD.,343765,AUTOMOTIVE STAMPINGS & ASSEMBLIES LTD.,31-03-2020
H D F C BANK LTD.,333552,AVENUE SUPERMARTS LTD.,31-03-2020
H D F C BANK LTD.,11259,AVONMORE CAPITAL & MGMT. SERVICES LTD.,31-03-2020
H D F C BANK LTD.,488452,B D R BUILDCON LTD.,31-03-2020
H D F C BANK LTD.,385675,B F INVST. LTD.,31-03-2020
H D F C BANK LTD.,26485,B F UTILITIES LTD.,31-03-2020
H D F C BANK LTD.,26919,B L B LTD.,31-03-2020
H D F C BANK LTD.,27289,B N R UDYOG LTD.,31-03-2020
H D F C BANK LTD.,27292,B N RATHI SECURITIES LTD.,31-03-2020
H D F C BANK LTD.,29826,BAMBINO AGRO INDS. LTD.,31-03-2020
H D F C BANK LTD.,30023,BANGALORE FORT FARMS LTD.,31-03-2020
H D F C BANK LTD.,87436,BELLA CASA FASHION & RETAIL LTD.,31-03-2020
H D F C BANK LTD.,33264,BHAGYANAGAR INDIA LTD.,31-03-2020
H D F C BANK LTD.,33922,BHARAT SEATS LTD.,31-03-2020
H D F C BANK LTD.,580424,BHATIA COMMUNICATIONS & RETAIL (INDIA) LTD.,31-03-2020
H D F C BANK LTD.,51228,BHEEMA CEMENTS LTD.,31-03-2020
H D F C BANK LTD.,35041,BHORUKA ALUMINIUM LTD.,31-03-2020
H D F C BANK LTD.,324585,BODHTREE CONSULTING LTD.,31-03-2020
H D F C BANK LTD.,37410,BOMBAY BURMAH TRDG. CORPN. LTD.,31-03-2020
H D F C BANK LTD.,207466,BRAND REALTY SERVICES LTD.,31-03-2020
H D F C BANK LTD.,38924,BRITANNIA INDUSTRIES LTD.,31-03-2020
H D F C BANK LTD.,42521,C L EDUCATE LTD.,31-03-2020
H D F C BANK LTD.,446688,CAPTAIN PIPES LTD.,31-03-2020
H D F C BANK LTD.,362751,CAREER POINT LTD.,31-03-2020
H D F C BANK LTD.,43406,CENLUB INDUSTRIES LTD.,31-03-2020
H D F C BANK LTD.,43600,CENTRUM CAPITAL LTD.,31-03-2020
H D F C BANK LTD.,44185,CHAMAN LAL SETIA EXPORTS LTD.,31-03-2020
H D F C BANK LTD.,568116,CHANDNI MACHINES LTD.,31-03-2020
H D F C BANK LTD.,45216,CHARTERED LOGISTICS LTD.,31-03-2020
H D F C BANK LTD.,45635,CHEMBOND CHEMICALS LTD.,31-03-2020
H D F C BANK LTD.,47821,CINERAD COMMUNICATIONS LTD.,31-03-2020
H D F C BANK LTD.,48052,CITIZEN INFOLINE LTD.,31-03-2020
H D F C BANK LTD.,48154,CITY ONLINE SERVICES LTD.,31-03-2020
H D F C BANK LTD.,48681,CLIO INFOTECH LTD.,31-03-2020
H D F C BANK LTD.,50063,CONART ENGINEERS LTD.,31-03-2020
H D F C BANK LTD.,50699,CONTIL INDIA LTD.,31-03-2020
H D F C BANK LTD.,50743,CONTINENTAL PETROLEUMS LTD.,31-03-2020
H D F C BANK LTD.,51048,CORAL INDIA FINANCE & HOUSING LTD.,31-03-2020
H D F C BANK LTD.,51051,CORAL LABORATORIES LTD.,31-03-2020
H D F C BANK LTD.,383745,CRANE INFRASTRUCTURE LTD.,31-03-2020
H D F C BANK LTD.,434647,CREATIVE NEWTECH LTD.,31-03-2020
H D F C BANK LTD.,52293,CRESSANDA SOLUTIONS LTD.,31-03-2020
H D F C BANK LTD.,406068,CROWN LIFTERS LTD.,31-03-2020
H D F C BANK LTD.,52790,CUBICAL FINANCIAL SERVICES LTD.,31-03-2020
H D F C BANK LTD.,53249,D & H INDIA LTD.,31-03-2020
H D F C BANK LTD.,571291,D P ABHUSHAN LTD.,31-03-2020
H D F C BANK LTD.,55743,DANLAW TECHNOLOGIES INDIA LTD.,31-03-2020
H D F C BANK LTD.,56442,DAULAT SECURITIES LTD.,31-03-2020
H D F C BANK LTD.,56997,DECO-MICA LTD.,31-03-2020
H D F C BANK LTD.,58115,DELTA INDUSTRIAL RESOURCES LTD.,31-03-2020
H D F C BANK LTD.,385965,DEN NETWORKS LTD.,31-03-2020
H D F C BANK LTD.,59257,DEVKI LEASING & FINANCE LTD.,31-03-2020
H D F C BANK LTD.,59483,DHABRIYA POLYWOOD LTD.,31-03-2020
H D F C BANK LTD.,59792,DHANLAXMI COTEX LTD.,31-03-2020
H D F C BANK LTD.,94230,DHENU BUILDCON INFRA LTD.,31-03-2020
H D F C BANK LTD.,511448,DHRUV CONSULTANCY SERVICES LTD.,31-03-2020
H D F C BANK LTD.,60605,DHUNSERI VENTURES LTD.,31-03-2020
H D F C BANK LTD.,232983,DIGISPICE TECHNOLOGIES LTD.,31-03-2020
H D F C BANK LTD.,62337,DOLFIN RUBBERS LTD.,31-03-2020
H D F C BANK LTD.,108565,DR HABEEBULLAH LIFE SCIENCES LTD.,31-03-2020
H D F C BANK LTD.,64198,DYNAMIC INDUSTRIES LTD.,31-03-2020
H D F C BANK LTD.,64238,DYNAMIC PORTFOLIO MGMT. & SERVICES LTD.,31-03-2020
H D F C BANK LTD.,64533,E I H ASSOCIATED HOTELS LTD.,31-03-2020
H D F C BANK LTD.,275313,EKANSH CONCEPTS LTD.,31-03-2020
H D F C BANK LTD.,66445,ELCID INVESTMENTS LTD.,31-03-2020
H D F C BANK LTD.,25754,ELIXIR CAPITAL LTD.,31-03-2020
H D F C BANK LTD.,485974,ENCASH ENTERTAINMENT LTD.,31-03-2020
H D F C BANK LTD.,68623,ENTERTAINMENT NETWORK (INDIA) LTD.,31-03-2020
H D F C BANK LTD.,226904,EQUIPPP SOCIAL IMPACT TECHNOLOGIES LTD.,31-03-2020
H D F C BANK LTD.,127123,ESHA MEDIA RESEARCH LTD.,31-03-2020
H D F C BANK LTD.,69363,ESQUIRE MONEY GUARANTEES LTD.,31-03-2020
H D F C BANK LTD.,333333,EURO ASIA EXPORTS LTD.,31-03-2020
H D F C BANK LTD.,597523,FAIRCHEM ORGANICS LTD.,31-03-2020
H D F C BANK LTD.,516117,FOCUS LIGHTING & FIXTURES LTD.,31-03-2020
H D F C BANK LTD.,74601,FORTIS HEALTHCARE LTD.,31-03-2020
H D F C BANK LTD.,74694,FORTUNE INTERNATIONAL LTD.,31-03-2020
H D F C BANK LTD.,164612,FRUITION VENTURE LTD.,31-03-2020
H D F C BANK LTD.,86708,G F L LTD.,31-03-2020
H D F C BANK LTD.,76270,G G DANDEKAR MACHINE WORKS LTD.,31-03-2020
H D F C BANK LTD.,86875,G R P LTD.,31-03-2020
H D F C BANK LTD.,77148,G S B FINANCE LTD.,31-03-2020
H D F C BANK LTD.,77591,GABRIEL INDIA LTD.,31-03-2020
H D F C BANK LTD.,77895,GAJRA BEVEL GEARS LTD.,31-03-2020
H D F C BANK LTD.,78015,GALAXY CLOUD KITCHENS LTD.,31-03-2020
H D F C BANK LTD.,78455,GANDHI SPECIAL TUBES LTD.,31-03-2020
H D F C BANK LTD.,86445,GARNET INTERNATIONAL LTD.,31-03-2020
H D F C BANK LTD.,79550,GATEWAY DISTRIPARKS LTD. [MERGED],31-03-2020
H D F C BANK LTD.,82532,GLOBE COMMERCIALS LTD.,31-03-2020
H D F C BANK LTD.,533881,GLOBE INTERNATIONAL CARRIERS LTD.,31-03-2020
H D F C BANK LTD.,83435,GOLD ROCK INVESTMENTS LTD.,31-03-2020
H D F C BANK LTD.,83497,GOLDCREST CORPORATION LTD.,31-03-2020
H D F C BANK LTD.,83640,GOLDEN LEGAND LEASING & FINANCE LTD.,31-03-2020
H D F C BANK LTD.,85447,GRASIM INDUSTRIES LTD.,31-03-2020
H D F C BANK LTD.,585911,GREENPANEL INDUSTRIES LTD.,31-03-2020
H D F C BANK LTD.,86618,GUJARAT APOLLO INDS. LTD.,31-03-2020
H D F C BANK LTD.,86763,GUJARAT INTRUX LTD.,31-03-2020
H D F C BANK LTD.,86851,GUJARAT POLY ELECTRONICS LTD.,31-03-2020
H D F C BANK LTD.,86957,GUJARAT TOOLROOM LTD.,31-03-2020
H D F C BANK LTD.,88320,H D F C LIFE INSURANCE CO. LTD.,31-03-2020
H D F C BANK LTD.,410701,H G INFRA ENGG. LTD.,31-03-2020
H D F C BANK LTD.,454504,H P C BIOSCIENCES LTD.,31-03-2020
H D F C BANK LTD.,89102,H S INDIA LTD.,31-03-2020
H D F C BANK LTD.,411222,HARIA APPARELS LTD.,31-03-2020
H D F C BANK LTD.,442324,HEADS U P VENTURES LTD.,31-03-2020
H D F C BANK LTD.,92437,HERCULES HOISTS LTD.,31-03-2020
H D F C BANK LTD.,228428,HINDOOSTAN MILLS LTD.,31-03-2020
H D F C BANK LTD.,94469,HISAR METAL INDS. LTD.,31-03-2020
H D F C BANK LTD.,347985,HITTCO TOOLS LTD.,31-03-2020
H D F C BANK LTD.,95632,HOUSING DEVELOPMENT FINANCE CORPN. LTD.,31-03-2020
H D F C BANK LTD.,95650,HOWARD HOTELS LTD.,31-03-2020
H D F C BANK LTD.,594045,HUMMING BIRD EDUCATION LTD.,31-03-2020
H D F C BANK LTD.,96183,HYPERSOFT TECHNOLOGIES LTD.,31-03-2020
H D F C BANK LTD.,98459,I I F L SECURITIES LTD.,31-03-2020
H D F C BANK LTD.,96713,I L & F S INVESTMENT MANAGERS LTD.,31-03-2020
H D F C BANK LTD.,38452,I M + CAPITALS LTD.,31-03-2020
H D F C BANK LTD.,96993,I S L CONSULTING LTD.,31-03-2020
H D F C BANK LTD.,263313,IDREAM FILM INFRASTRUCTURE CO. LTD.,31-03-2020
H D F C BANK LTD.,98275,INDERGIRI FINANCE LTD.,31-03-2020
H D F C BANK LTD.,139221,INDIA HOME LOAN LTD.,31-03-2020
H D F C BANK LTD.,395211,INDIAN ENERGY EXCHANGE LTD.,31-03-2020
H D F C BANK LTD.,98960,INDIAN RAILWAY CATERING & TOURISM CORPN. LTD.,31-03-2020
H D F C BANK LTD.,212051,INDIANIVESH LTD.,31-03-2020
H D F C BANK LTD.,104559,INDITRADE CAPITAL LTD.,31-03-2020
H D F C BANK LTD.,99558,INDO-CITY INFOTECH LTD.,31-03-2020
H D F C BANK LTD.,99706,INDOKEM LTD.,31-03-2020
H D F C BANK LTD.,120232,INDSOYA LTD.,31-03-2020
H D F C BANK LTD.,101070,INOX LEISURE LTD.,31-03-2020
H D F C BANK LTD.,101411,INTEGRA TELECOMMUNICATION & SOFTWARE LTD.,31-03-2020
H D F C BANK LTD.,101454,INTEGRATED CAPITAL SERVICES LTD.,31-03-2020
H D F C BANK LTD.,237692,INTERNATIONAL CONSTRUCTIONS LTD.,31-03-2020
H D F C BANK LTD.,305060,INTRASOFT TECHNOLOGIES LTD.,31-03-2020
H D F C BANK LTD.,129366,IZMO LTD.,31-03-2020
H D F C BANK LTD.,108958,J D ORGOCHEM LTD.,31-03-2020
H D F C BANK LTD.,104232,J M FINANCIAL LTD.,31-03-2020
