banker_name,co_code,company_name,bnkhist_date
AXIS BANK LTD.,58843,DEV INFORMATION TECHNOLOGY LTD.,31-03-2020
AXIS BANK LTD.,59344,DEVYANI INTERNATIONAL LTD.,31-03-2020
AXIS BANK LTD.,59796,DHANLAXMI FABRICS LTD.,31-03-2020
AXIS BANK LTD.,60504,DHOOT INDUSTRIAL FINANCE LTD.,31-03-2020
AXIS BANK LTD.,571284,DHRUV WELLNESS LTD.,31-03-2020
AXIS BANK LTD.,2717,DISH T V INDIA LTD.,31-03-2020
AXIS BANK LTD.,19470,DISHA RESOURCES LTD.,31-03-2020
AXIS BANK LTD.,64150,DYNAMATIC TECHNOLOGIES LTD.,31-03-2020
AXIS BANK LTD.,64222,DYNAMIC MICROSTEPPERS LTD.,31-03-2020
AXIS BANK LTD.,582819,E 2 E NETWORKS LTD.,31-03-2020
AXIS BANK LTD.,69565,E P L LTD.,31-03-2020
AXIS BANK LTD.,292959,EIKO LIFESCIENCES LTD.,31-03-2020
AXIS BANK LTD.,66728,ELECTROSTEEL CASTINGS LTD.,31-03-2020
AXIS BANK LTD.,67761,EMKAY GLOBAL FINANCIAL SERVICES LTD.,31-03-2020
AXIS BANK LTD.,90429,EMPOWER INDIA LTD.,31-03-2020
AXIS BANK LTD.,235556,ENCODE PACKAGING INDIA LTD.,31-03-2020
AXIS BANK LTD.,95767,EPSOM PROPERTIES LTD.,31-03-2020
AXIS BANK LTD.,406849,ERIS LIFESCIENCES LTD.,31-03-2020
AXIS BANK LTD.,69059,ESAB INDIA LTD.,31-03-2020
AXIS BANK LTD.,69905,EVEREST INDUSTRIES LTD.,31-03-2020
AXIS BANK LTD.,502184,FILTRA CONSULTANTS & ENGINEERS LTD.,31-03-2020
AXIS BANK LTD.,210996,FINKURVE FINANCIAL SERVICES LTD.,31-03-2020
AXIS BANK LTD.,102613,FIRST FINTEC LTD.,31-03-2020
AXIS BANK LTD.,75203,FRESHTROP FRUITS LTD.,31-03-2020
AXIS BANK LTD.,170019,FUTURE ENTERPRISES LTD.,31-03-2020
AXIS BANK LTD.,449479,FUTURE LIFESTYLE FASHIONS LTD.,31-03-2020
AXIS BANK LTD.,380731,FUTURE RETAIL LTD.,31-03-2020
AXIS BANK LTD.,12007,G E T & D INDIA LTD.,31-03-2020
AXIS BANK LTD.,76533,G K W LTD.,31-03-2020
AXIS BANK LTD.,207224,G P PETROLEUMS LTD.,31-03-2020
AXIS BANK LTD.,416190,G T P L HATHWAY LTD.,31-03-2020
AXIS BANK LTD.,88002,G T V ENGINEERING LTD.,31-03-2020
AXIS BANK LTD.,78705,GANGA FORGING LTD.,31-03-2020
AXIS BANK LTD.,83686,GARBI FINVEST LTD.,31-03-2020
AXIS BANK LTD.,520723,GARMENT MANTRA LIFESTYLE LTD.,31-03-2020
AXIS BANK LTD.,183324,GENNEX LABORATORIES LTD.,31-03-2020
AXIS BANK LTD.,81038,GEOJIT FINANCIAL SERVICES LTD.,31-03-2020
AXIS BANK LTD.,81568,GILLANDERS ARBUTHNOT & CO. LTD.,31-03-2020
AXIS BANK LTD.,553553,GLOBALSPACE TECHNOLOGIES LTD.,31-03-2020
AXIS BANK LTD.,173860,GOLKONDA ALUMINIUM EXTRUSIONS LTD.,31-03-2020
AXIS BANK LTD.,84275,GOODRICKE GROUP LTD.,31-03-2020
AXIS BANK LTD.,84628,GORANI INDUSTRIES LTD.,31-03-2020
AXIS BANK LTD.,42434,GRAPHITE INDIA LTD.,31-03-2020
AXIS BANK LTD.,76586,GRAVISS HOSPITALITY LTD.,31-03-2020
AXIS BANK LTD.,85979,GREENPLY INDUSTRIES LTD.,31-03-2020
AXIS BANK LTD.,86321,GROVY INDIA LTD.,31-03-2020
AXIS BANK LTD.,444847,GUJARAT GAS LTD.,31-03-2020
AXIS BANK LTD.,86842,GUJARAT PETROSYNTHESE LTD.,31-03-2020
AXIS BANK LTD.,86923,GUJARAT STATE PETRONET LTD.,31-03-2020
AXIS BANK LTD.,406350,HALDER VENTURE LTD.,31-03-2020
AXIS BANK LTD.,91459,HATHWAY CABLE & DATACOM LTD.,31-03-2020
AXIS BANK LTD.,91988,HELPAGE FINLEASE LTD.,31-03-2020
AXIS BANK LTD.,92057,HEMADRI CEMENTS LTD.,31-03-2020
AXIS BANK LTD.,93259,HIKAL LTD.,31-03-2020
AXIS BANK LTD.,17143,HILIKS TECHNOLOGIES LTD.,31-03-2020
AXIS BANK LTD.,93511,HIMADRI SPECIALITY CHEMICAL LTD.,31-03-2020
AXIS BANK LTD.,249339,HINDUJA GLOBAL SOLUTIONS LTD.,31-03-2020
AXIS BANK LTD.,94136,HINDUSTAN BIO SCIENCES LTD.,31-03-2020
AXIS BANK LTD.,94042,HINDUSTAN HARDY LTD.,31-03-2020
AXIS BANK LTD.,575701,HINDWARE HOME INNOVATION LTD.,31-03-2020
AXIS BANK LTD.,595098,HITACHI ENERGY INDIA LTD.,31-12-2019
AXIS BANK LTD.,96443,I C R A LTD.,31-03-2020
AXIS BANK LTD.,428016,I F L ENTERPRISES LTD.,31-03-2020
AXIS BANK LTD.,99370,I I T L PROJECTS LTD.,31-03-2020
AXIS BANK LTD.,536435,I R I S CLOTHINGS LTD.,31-03-2020
AXIS BANK LTD.,40158,IGARASHI MOTORS INDIA LTD.,31-03-2020
AXIS BANK LTD.,268599,IND-AGIV COMMERCE LTD.,31-03-2020
AXIS BANK LTD.,98377,INDIA CEMENTS CAPITAL LTD.,31-03-2020
AXIS BANK LTD.,552321,INDIA GRID TRUST,31-03-2020
AXIS BANK LTD.,61857,INDIA POWER CORPN. LTD.,31-03-2020
AXIS BANK LTD.,100315,INDUSTRIAL INVESTMENT TRUST LTD.,31-03-2020
AXIS BANK LTD.,247992,INERTIA STEEL LTD.,31-03-2020
AXIS BANK LTD.,377255,INNOVASSYNTH INVESTMENTS LTD.,31-03-2020
AXIS BANK LTD.,101011,INNOVATIVE TECH PACK LTD.,31-03-2020
AXIS BANK LTD.,386273,INOX WIND LTD.,31-03-2020
AXIS BANK LTD.,74684,INTENSE TECHNOLOGIES LTD.,31-03-2020
AXIS BANK LTD.,101750,INTERACTIVE FINANCIAL SERVICES LTD.,31-03-2020
AXIS BANK LTD.,74664,INVESTMENT TRUST OF INDIA LTD.,31-03-2020
AXIS BANK LTD.,103305,J B M AUTO LTD.,31-03-2020
AXIS BANK LTD.,346580,J K AGRI GENETICS LTD.,31-03-2020
AXIS BANK LTD.,319628,J M D VENTURES LTD.,31-03-2020
AXIS BANK LTD.,104238,J M T AUTO LTD.,31-03-2020
AXIS BANK LTD.,109868,J S W ENERGY LTD.,31-03-2020
AXIS BANK LTD.,105711,JAI CORP LTD.,31-03-2020
AXIS BANK LTD.,108841,JAIPRAKASH ASSOCIATES LTD.,31-03-2020
AXIS BANK LTD.,108072,JAY BHARAT MARUTI LTD.,31-03-2020
AXIS BANK LTD.,108225,JAY SHREE TEA & INDS. LTD.,31-03-2020
AXIS BANK LTD.,376510,JAYPEE INFRATECH LTD.,31-03-2020
