symbol,banker_name,co_code,company_name,exchange,beta,mes,vulnerable,type,time,count,nskew,duvol,ic_count,ic_nskew,ic_duvol,nic_prod_code,co_industry_name
SBIN.NS,STATE BANK OF INDIA,453815,AHLADA ENGINEERS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.125739716765688,-0.0192587496584517,-1,-0.7526508152730007,0.0732571335919413,25,Steel
SBIN.NS,STATE BANK OF INDIA,453815,AHLADA ENGINEERS LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.5484494480601795,-0.4576508357005622,-1,-0.7526508152730007,0.0732571335919413,25,Steel
SBIN.NS,STATE BANK OF INDIA,361289,AISHWARYA TECHNOLOGIES & TELECOM LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.163965841189729,0.3428301873497828,0,-0.0640013776540281,0.4939373516134748,46,Wholesale trading
SBIN.NS,STATE BANK OF INDIA,361289,AISHWARYA TECHNOLOGIES & TELECOM LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.1365632493438572,-0.2719960696260918,0,-0.0640013776540281,0.4939373516134748,46,Wholesale trading
SBIN.NS,STATE BANK OF INDIA,8909,AJANTA SOYA LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.425130186686727,-0.1929419316756919,-1,-0.8890296313940664,-0.4288081534903531,10,Vegetable oils & products
SBIN.NS,STATE BANK OF INDIA,8909,AJANTA SOYA LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.7120519835895648,-0.7030741299093486,-1,-0.8890296313940664,-0.4288081534903531,10,Vegetable oils & products
SBIN.NS,STATE BANK OF INDIA,24496,AKSHARCHEM (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.7612449588072906,-0.6803033798336339,0,-0.2551937642290411,-0.0899489799963912,20,Dyes & pigments
SBIN.NS,STATE BANK OF INDIA,24496,AKSHARCHEM (INDIA) LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-0.5128392256835362,-0.214879960528168,0,-0.2551937642290411,-0.0899489799963912,20,Dyes & pigments
SBIN.NS,STATE BANK OF INDIA,10376,ALBERT DAVID LTD.,NSE,0.247401023,0.00161674,1,Public,0,1,-0.0818471725832314,-0.47344932409347,-3,-1.1447870852640023,-0.8540935104719103,21,Drugs & pharmaceuticals
SBIN.NS,STATE BANK OF INDIA,10376,ALBERT DAVID LTD.,BSE,0.247401023,0.00161674,1,Public,1,-3,-1.6780529944983955,-0.9804764660322296,-3,-1.1447870852640023,-0.8540935104719103,21,Drugs & pharmaceuticals
SBIN.NS,STATE BANK OF INDIA,10674,ALFA ICA (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.1012185420689938,-0.2560609577698833,0,0.0873478078483992,-0.0778244245619643,22,"Plastic tubes, pipes, fittings & sheets"
SBIN.NS,STATE BANK OF INDIA,10674,ALFA ICA (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.0708821413422005,0.0469004445214093,0,0.0873478078483992,-0.0778244245619643,22,"Plastic tubes, pipes, fittings & sheets"
SBIN.NS,STATE BANK OF INDIA,10714,ALFA TRANSFORMERS LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.2191251359438224,-0.6962179649230636,0,-0.3347843811971074,-0.2944923648223836,27,"Generators, transformers & switchgears"
SBIN.NS,STATE BANK OF INDIA,10714,ALFA TRANSFORMERS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.3827752199678656,-0.1945457793872992,0,-0.3347843811971074,-0.2944923648223836,27,"Generators, transformers & switchgears"
SBIN.NS,STATE BANK OF INDIA,10872,ALKALI METALS LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-0.6166649207819942,-0.531975745533122,-2,-1.1247280105688224,-0.9444407129974784,20,Inorganic chemicals
SBIN.NS,STATE BANK OF INDIA,10872,ALKALI METALS LTD.,BSE,0.247401023,0.00161674,1,Public,1,-2,-1.3332505106692476,-0.8500355749911406,-2,-1.1247280105688224,-0.9444407129974784,20,Inorganic chemicals
SBIN.NS,STATE BANK OF INDIA,10903,ALKYL AMINES CHEMICALS LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-2.210153535398822,-1.0088356707115635,-1,-0.2671958534447843,-0.294585256909893,20,Organic chemicals
SBIN.NS,STATE BANK OF INDIA,10903,ALKYL AMINES CHEMICALS LTD.,BSE,0.247401023,0.00161674,1,Public,1,-2,-1.2512087662629512,-0.6675372659899721,-1,-0.2671958534447843,-0.294585256909893,20,Organic chemicals
SBIN.NS,STATE BANK OF INDIA,11853,ALPHAGEO (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,1,-3,-1.4198603600605408,-1.0599403703564776,-1,-0.9918315432291084,-0.749000394742214,43,Industrial construction
SBIN.NS,STATE BANK OF INDIA,11853,ALPHAGEO (INDIA) LTD.,NSE,0.247401023,0.00161674,1,Public,0,2,1.7354200482802715,0.3584975988199778,-1,-0.9918315432291084,-0.749000394742214,43,Industrial construction
