"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"15-Apr-2020","     9196.40","     9261.20","     8874.10","     8925.30","      880159358","        41878.64"
"16-Apr-2020","     8851.25","     9053.75","     8821.90","     8992.80","      720116479","        31318.29"
"17-Apr-2020","     9323.45","     9324.00","     9091.35","     9266.75","      684910520","        33334.73"
"20-Apr-2020","     9390.20","     9390.85","     9230.80","     9261.85","      726364699","        28620.91"
"21-Apr-2020","     9016.95","     9044.40","     8909.40","     8981.45","      655122903","        28273.89"
"22-Apr-2020","     9026.75","     9209.75","     8946.25","     9187.30","      734383388","        33981.82"
"23-Apr-2020","     9232.35","     9343.60","     9170.15","     9313.90","      666650462","        30270.55"
"24-Apr-2020","     9163.90","     9296.90","     9141.30","     9154.40","      659439249","        32859.05"
"27-Apr-2020","     9259.70","     9377.10","     9250.35","     9282.30","      512793298","        26696.54"
"28-Apr-2020","     9389.80","     9404.40","     9260.00","     9380.90","      614548983","        30091.41"
"29-Apr-2020","     9408.60","     9599.85","     9392.35","     9553.35","      653026950","        31673.23"
"30-Apr-2020","     9753.50","     9889.05","     9731.50","     9859.90","      931173802","        39332.46"
"04-May-2020","     9533.50","     9533.50","     9266.95","     9293.50","      687487134","        29785.95"
"05-May-2020","     9429.40","     9450.90","     9190.75","     9205.60","      725196178","        29700.20"
"06-May-2020","     9226.80","     9346.90","     9116.50","     9270.90","      722185448","        30798.10"
"07-May-2020","     9234.05","     9277.85","     9175.90","     9199.05","      708740416","        59705.53"
"08-May-2020","     9376.95","     9382.65","     9238.20","     9251.50","      609053504","        30743.45"
"11-May-2020","     9348.15","     9439.90","     9219.95","     9239.20","      704647074","        31048.47"
"12-May-2020","     9168.85","     9240.85","     9043.95","     9196.55","      805458787","        37706.27"
"13-May-2020","     9584.20","     9584.50","     9351.10","     9383.55","      846395245","        36488.90"
"14-May-2020","     9213.95","     9281.10","     9119.75","     9142.75","      602555564","        29541.59"
"15-May-2020","     9182.40","     9182.40","     9050.00","     9136.85","      575857112","        25847.33"
"18-May-2020","     9158.30","     9158.30","     8806.75","     8823.25","      772983297","        33347.46"
"19-May-2020","     8961.70","     9030.35","     8855.30","     8879.10","      762152894","        32026.94"
"20-May-2020","     8889.15","     9093.80","     8875.35","     9066.55","      622308140","        30721.99"
"21-May-2020","     9079.45","     9178.55","     9056.10","     9106.25","      631542699","        28303.51"
"22-May-2020","     9067.90","     9149.60","     8968.55","     9039.25","      675759336","        31625.47"
"26-May-2020","     9099.75","     9161.65","     8996.65","     9029.05","      654959960","        30871.59"
"27-May-2020","     9082.20","     9334.00","     9004.25","     9314.95","      763492487","        34603.88"
"28-May-2020","     9364.95","     9511.25","     9336.50","     9490.10","      837911425","        37761.91"
"29-May-2020","     9422.20","     9598.85","     9376.90","     9580.30","      967005438","        45006.25"
"01-Jun-2020","     9726.85","     9931.60","     9706.95","     9826.15","      794183122","        38096.92"
"02-Jun-2020","     9880.85","     9995.60","     9824.05","     9979.10","      770192848","        36723.11"
"03-Jun-2020","    10108.30","    10176.20","    10035.55","    10061.55","      794664422","        38343.61"
"04-Jun-2020","    10054.25","    10123.85","     9944.25","    10029.10","      775106567","        36399.04"
"05-Jun-2020","    10093.80","    10177.80","    10040.75","    10142.15","      987122302","        37824.63"
"08-Jun-2020","    10326.75","    10328.50","    10120.25","    10167.45","      936485541","        37819.06"
"09-Jun-2020","    10181.15","    10291.15","    10021.45","    10046.65","      754217460","        36201.05"
"10-Jun-2020","    10072.60","    10148.75","    10036.85","    10116.15","      632383068","        28485.47"
"11-Jun-2020","    10094.10","    10112.05","     9885.05","     9902.00","      715453486","        30813.85"
"12-Jun-2020","     9544.95","     9996.05","     9544.35","     9972.90","      796306399","        36505.77"
"15-Jun-2020","     9919.35","     9943.35","     9726.35","     9813.70","      716053036","        31926.65"
"16-Jun-2020","    10014.80","    10046.15","     9728.50","     9914.00","      899895044","        36257.89"
"17-Jun-2020","     9876.70","    10003.60","     9833.80","     9881.15","      685418390","        30700.69"
"18-Jun-2020","     9863.25","    10111.20","     9845.05","    10091.65","      622895963","        28594.32"
"19-Jun-2020","    10119.00","    10272.40","    10072.65","    10244.40","      892096343","        48103.56"
"22-Jun-2020","    10318.75","    10393.65","    10277.60","    10311.20","      685385093","        35529.80"
"23-Jun-2020","    10347.95","    10484.70","    10301.75","    10471.00","      669195109","        34148.13"
"24-Jun-2020","    10529.25","    10553.15","    10281.95","    10305.30","      854799801","        41394.45"
"25-Jun-2020","    10235.55","    10361.80","    10194.50","    10288.90","      994190886","        41726.07"
"26-Jun-2020","    10378.90","    10409.85","    10311.25","    10383.00","      671910159","        31841.68"
"29-Jun-2020","    10311.95","    10337.95","    10223.60","    10312.40","      574544482","        27019.46"
"30-Jun-2020","    10382.60","    10401.05","    10267.35","    10302.10","      556238560","        27342.55"
