,index,co_code,company_name,co_stkdate,nse_closing_price,nse_returns
42,41435,11,20 MICRONS LTD.,2019-02-28,36.55,1.05
43,41436,11,20 MICRONS LTD.,2019-03-01,37.8,1.03
44,41437,11,20 MICRONS LTD.,2019-03-05,39.85,1.05
45,41438,11,20 MICRONS LTD.,2019-03-06,40.55,1.02
46,41439,11,20 MICRONS LTD.,2019-03-07,39.45,0.97
47,41440,11,20 MICRONS LTD.,2019-03-08,38.4,0.97
48,41441,11,20 MICRONS LTD.,2019-03-11,39.35,1.02
49,41442,11,20 MICRONS LTD.,2019-03-12,39.35,1.0
50,41443,11,20 MICRONS LTD.,2019-03-13,39.05,0.99
51,41444,11,20 MICRONS LTD.,2019-03-14,38.95,1.0
52,41445,11,20 MICRONS LTD.,2019-03-15,38.75,0.99
53,41446,11,20 MICRONS LTD.,2019-03-18,38.75,1.0
54,41447,11,20 MICRONS LTD.,2019-03-19,39.7,1.02
55,41448,11,20 MICRONS LTD.,2019-03-20,38.55,0.97
56,41449,11,20 MICRONS LTD.,2019-03-22,38.55,1.0
57,41450,11,20 MICRONS LTD.,2019-03-25,37.2,0.96
58,41451,11,20 MICRONS LTD.,2019-03-26,38.75,1.04
59,41452,11,20 MICRONS LTD.,2019-03-27,37.05,0.96
60,41453,11,20 MICRONS LTD.,2019-03-28,38.5,1.04
61,41454,11,20 MICRONS LTD.,2019-03-29,38.2,0.99
62,41455,11,20 MICRONS LTD.,2019-04-01,40.15,1.05
63,41456,11,20 MICRONS LTD.,2019-04-02,39.5,0.98
64,41457,11,20 MICRONS LTD.,2019-04-03,39.2,0.99
65,41458,11,20 MICRONS LTD.,2019-04-04,38.5,0.98
66,41459,11,20 MICRONS LTD.,2019-04-05,39.1,1.02
67,41460,11,20 MICRONS LTD.,2019-04-08,38.55,0.99
68,41461,11,20 MICRONS LTD.,2019-04-09,38.45,1.0
69,41462,11,20 MICRONS LTD.,2019-04-10,38.0,0.99
70,41463,11,20 MICRONS LTD.,2019-04-11,37.9,1.0
71,41464,11,20 MICRONS LTD.,2019-04-12,38.1,1.01
72,41465,11,20 MICRONS LTD.,2019-04-15,38.3,1.01
73,41466,11,20 MICRONS LTD.,2019-04-16,38.75,1.01
74,41467,11,20 MICRONS LTD.,2019-04-18,38.25,0.99
75,41468,11,20 MICRONS LTD.,2019-04-22,37.4,0.98
