exchange,company_name,time,count,nskew,duvol
NSE,ALLCARGO LOGISTICS LTD.,-1,-2,-0.2745586005984946,-0.4554103232648394
NSE,ALLIED DIGITAL SERVICES LTD.,-1,-4,-1.4597383918975726,-0.6876434507608465
NSE,ALLSEC TECHNOLOGIES LTD.,-1,-2,-2.9180054342335087,-1.4703466730150694
NSE,ALMONDZ GLOBAL SECURITIES LTD.,-1,1,1.1129965084754483,0.5237416663627659
NSE,ALOK INDUSTRIES LTD.,-1,0,-0.557372125994025,-0.4748227361179254
NSE,ALPHAGEO (INDIA) LTD.,-1,-1,-0.9918315432291085,-0.749000394742214
NSE,AMARA RAJA BATTERIES LTD.,-1,0,0.712488759590799,0.24871552341768993
NSE,AMBER ENTERPRISES INDIA LTD.,-1,-1,-0.46539694673804305,-0.2560617726876105
NSE,AMBIKA COTTON MILLS LTD.,-1,2,0.9015044292452252,0.44733125715803407
NSE,AMRUTANJAN HEALTH CARE LTD.,-1,-1,-2.567617941205617,-1.2181234376530417
NSE,ANANT RAJ LTD.,-1,-1,-1.0416205723566294,-0.5714964479356636
NSE,ANDHRA CEMENTS LTD.,-1,-2,-0.5308878553121481,-0.22732927436797748
NSE,ANDHRA PAPER LTD.,-1,-1,-1.2840397175032998,-0.7939996304654234
NSE,ANDHRA SUGARS LTD.,-1,-1,-1.0668601333868184,-0.7652345935003426
NSE,ANI INTEGRATED SERVICES LTD.,-1,0,-0.12021159389123269,-0.12341818483707975
NSE,ANIK INDUSTRIES LTD.,-1,0,-0.046624416719449585,-0.09100805182740943
NSE,ANJANI PORTLAND CEMENT LTD.,-1,-1,-0.4567301191326478,-0.3633368080603074
NSE,ANKIT METAL & POWER LTD.,-1,-1,-0.2767205731286966,-0.940035717178104
NSE,ANSAL HOUSING LTD.,-1,-3,-1.2335609890623196,-1.0813453189947253
NSE,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,-1,1,0.12362226384020591,0.05083189679730954
NSE,ANUP ENGINEERING LTD.,-1,1,0.6632756592444133,0.16675333907190096
NSE,APAR INDUSTRIES LTD.,-1,0,-0.08470594655489323,-0.28950929696295424
NSE,APCOTEX INDUSTRIES LTD.,-1,1,0.14725322421291276,0.016947900341570798
NSE,APEX FROZEN FOODS LTD.,-1,-2,-1.8556638508015555,-0.8760690416315946
NSE,APOLLO HOSPITALS ENTERPRISE LTD.,-1,0,0.893171252806716,0.012682650927376008
NSE,APOLLO MICRO SYSTEMS LTD.,-1,-3,-2.42263972690085,-1.4326176298266247
NSE,APOLLO SINDOORI HOTELS LTD.,-1,-1,-0.4185361579493692,-0.11945483973162517
NSE,APOLLO TYRES LTD.,-1,-1,-1.1324363195364702,-0.5432187629579643
NSE,APTECH LTD.,-1,-3,-1.244418962353334,-0.9409456156990651
NSE,ARCHIDPLY INDUSTRIES LTD.,-1,-1,-0.9693369146517824,-0.8171546415377824
NSE,ARCHIES LTD.,-1,0,-0.322895622839158,-0.39448409193200934
NSE,ARIES AGRO LTD.,-1,-1,-0.397285980101914,-0.38771102190244067
NSE,ARIHANT FOUNDATIONS & HOUSING LTD.,-1,-1,-0.3227780734896898,-0.2976200740691534
NSE,ARIHANT SUPERSTRUCTURES LTD.,-1,-1,-1.0820660741148747,-0.38970681734610074
NSE,ARMAN FINANCIAL SERVICES LTD.,-1,-1,-0.25788482170306776,0.07795224341610522
NSE,ARO GRANITE INDS. LTD.,-1,-1,-0.4985739513994823,-0.5452927133268898
NSE,ARROW GREENTECH LTD.,-1,-1,-0.3433695589880145,-0.2735913343120007
NSE,ARSHIYA LTD.,-1,-2,-1.3812631943602287,-0.9890370196441668
NSE,ARVIND FASHIONS LTD.,-1,-1,-0.17192697592694922,-0.12734184444864502
NSE,ARVIND LTD.,-1,0,0.9424661154683232,0.20856230881163298
NSE,ASAHI INDIA GLASS LTD.,-1,-2,-1.374452290800465,-0.8769844351206402
NSE,ASAHI SONGWON COLORS LTD.,-1,-1,-0.5103968670563496,-0.3952611178506747
NSE,ASHAPURA MINECHEM LTD.,-1,0,-0.6705182777631953,-0.7944625024741132
