symbol,banker_name,co_code,company_name,exchange,beta,mes,vulnerable,type,time,binary,nskew,duvol,ic_binary,ic_nskew,ic_duvol,roa,levarage,nic_prod_code
SBIN.NS,STATE BANK OF INDIA,8909,AJANTA SOYA LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.697120888,-0.441678512,0,-0.957847577,-0.49677115,-0.4439,0.6635,10
SBIN.NS,STATE BANK OF INDIA,24496,AKSHARCHEM (INDIA) LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.17812473,0.064080339,1,0.080908778,0.197429003,12.1641,0,20
SBIN.NS,STATE BANK OF INDIA,24496,AKSHARCHEM (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.84848354,-0.760540491,1,0.080908778,0.197429003,12.1641,0,20
SBIN.NS,STATE BANK OF INDIA,10376,ALBERT DAVID LTD.,NSE,0.247401023,0.00161674,1,Public,0,1,-0.108343584,-0.496794961,0,-1.068906845,-0.782547946,2.8025,0.1488,21
SBIN.NS,STATE BANK OF INDIA,10376,ALBERT DAVID LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-1.940941045,-1.220806696,0,-1.068906845,-0.782547946,2.8025,0.1488,21
SBIN.NS,STATE BANK OF INDIA,10674,ALFA ICA (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.082069799,0.201666752,0,0.138204873,-0.020494329,3.7143,0.9444,22
SBIN.NS,STATE BANK OF INDIA,10674,ALFA ICA (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,0.070209459,-0.048391358,0,0.138204873,-0.020494329,3.7143,0.9444,22
SBIN.NS,STATE BANK OF INDIA,10714,ALFA TRANSFORMERS LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.411585469,-0.897546651,0,0.369097516,0.43011629,-6.7465,0.5202,27
SBIN.NS,STATE BANK OF INDIA,10714,ALFA TRANSFORMERS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.278364811,0.444590591,0,0.369097516,0.43011629,-6.7465,0.5202,27
SBIN.NS,STATE BANK OF INDIA,10872,ALKALI METALS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-1.637635208,-1.128688638,0,-0.813766433,-0.666144282,1.3348,0.3577,20
SBIN.NS,STATE BANK OF INDIA,10872,ALKALI METALS LTD.,NSE,0.247401023,0.00161674,1,Public,0,1,-0.639584306,-0.549948039,0,-0.813766433,-0.666144282,1.3348,0.3577,20
SBIN.NS,STATE BANK OF INDIA,10903,ALKYL AMINES CHEMICALS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-1.779712968,-1.120356435,0,-0.187608435,-0.227489001,9.9249,0.61,20
SBIN.NS,STATE BANK OF INDIA,10903,ALKYL AMINES CHEMICALS LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-2.464076006,-1.246329566,0,-0.187608435,-0.227489001,9.9249,0.61,20
SBIN.NS,STATE BANK OF INDIA,11853,ALPHAGEO (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-1.622039906,-1.252028815,0,-0.682936162,-0.479633832,15.6271,0.226,43
SBIN.NS,STATE BANK OF INDIA,11853,ALPHAGEO (INDIA) LTD.,NSE,0.247401023,0.00161674,1,Public,0,2,2.133540354,0.763454792,0,-0.682936162,-0.479633832,15.6271,0.226,43
SBIN.NS,STATE BANK OF INDIA,12517,AMARA RAJA BATTERIES LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-1.354592072,-0.671266914,1,1.140470418,0.607975148,11.9684,0.0217,27
SBIN.NS,STATE BANK OF INDIA,12517,AMARA RAJA BATTERIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,1,-0.203595328,-0.171049869,1,1.140470418,0.607975148,11.9684,0.0217,27
SBIN.NS,STATE BANK OF INDIA,504951,AMIN TANNERY LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,0.379348912,0.63131452,0,0.617348738,0.80833526,2.0958,2.0339,15
SBIN.NS,STATE BANK OF INDIA,504951,AMIN TANNERY LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.494293831,-0.80548749,0,0.617348738,0.80833526,2.0958,2.0339,15
SBIN.NS,STATE BANK OF INDIA,13499,AMINES & PLASTICIZERS LTD.,BSE,0.247401023,0.00161674,1,Public,0,1,-0.063881683,-0.184977931,0,-1.487343288,-0.547020103,9.0207,0.6131,20
SBIN.NS,STATE BANK OF INDIA,13499,AMINES & PLASTICIZERS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.390933701,-0.370111265,0,-1.487343288,-0.547020103,9.0207,0.6131,20
SBIN.NS,STATE BANK OF INDIA,14897,ANANT RAJ LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.74347198,-0.495937515,0,-0.614665618,-0.220394698,0.6488,0.5614,41
SBIN.NS,STATE BANK OF INDIA,14897,ANANT RAJ LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.318423257,-0.480472366,0,-0.614665618,-0.220394698,0.6488,0.5614,41
SBIN.NS,STATE BANK OF INDIA,15270,ANDHRA PAPER LTD.,NSE,0.247401023,0.00161674,1,Public,0,3,2.82656778,2.001150572,0,-1.041021219,-0.611686507,6.9557,0.3837,17
SBIN.NS,STATE BANK OF INDIA,15270,ANDHRA PAPER LTD.,BSE,0.247401023,0.00161674,1,Public,1,1,-0.376123857,-0.178407418,0,-1.041021219,-0.611686507,6.9557,0.3837,17
SBIN.NS,STATE BANK OF INDIA,15246,ANDHRA PETROCHEMICALS LTD.,BSE,0.247401023,0.00161674,1,Public,1,1,0.768035359,0.455019413,0,-0.399778433,-0.13840466,16.0696,0.4518,20
SBIN.NS,STATE BANK OF INDIA,15246,ANDHRA PETROCHEMICALS LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,0.134627544,0.184173739,0,-0.399778433,-0.13840466,16.0696,0.4518,20
SBIN.NS,STATE BANK OF INDIA,520921,ANGEL FIBERS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.043475919,-0.222868364,0,1.178426234,1.230286023,4.7834,1.609,13
SBIN.NS,STATE BANK OF INDIA,520921,ANGEL FIBERS LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,0.696615264,1.059727978,0,1.178426234,1.230286023,4.7834,1.609,13
SBIN.NS,STATE BANK OF INDIA,16198,ANJANI SYNTHETICS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.136805524,0.417512202,0,-0.320040854,-0.328100791,1.4784,1.4121,13
SBIN.NS,STATE BANK OF INDIA,16198,ANJANI SYNTHETICS LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.519358544,-0.774730174,0,-0.320040854,-0.328100791,1.4784,1.4121,13
SBIN.NS,STATE BANK OF INDIA,17809,APCOTEX INDUSTRIES LTD.,NSE,0.247401023,0.00161674,1,Public,0,1,9.456227952,3.39090054,1,0.142232167,0.012449362,12.1801,0.0705,20
SBIN.NS,STATE BANK OF INDIA,17809,APCOTEX INDUSTRIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-1.185906487,-0.631730408,1,0.142232167,0.012449362,12.1801,0.0705,20
SBIN.NS,STATE BANK OF INDIA,457276,APOLLO MICRO SYSTEMS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-1.876090502,-1.579743925,0,-2.413221878,-1.424416922,5.4049,0.339,26
SBIN.NS,STATE BANK OF INDIA,457276,APOLLO MICRO SYSTEMS LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-1.526089423,-0.745282539,0,-2.413221878,-1.424416922,5.4049,0.339,26
