symbol,banker_name,co_code,company_name,exchange,beta,mes,vulnerable,type,time,binary,nskew,duvol
SBIN.NS,STATE BANK OF INDIA,13499,AMINES & PLASTICIZERS LTD.,BSE,0.247401023,0.00161674,True,Public,0,1,-0.005905863714911442,-0.2940637364466928
SBIN.NS,STATE BANK OF INDIA,13499,AMINES & PLASTICIZERS LTD.,BSE,0.247401023,0.00161674,True,Public,1,0,-0.004132927443589294,-0.012620522211147157
SBIN.NS,STATE BANK OF INDIA,14897,ANANT RAJ LTD.,NSE,0.247401023,0.00161674,True,Public,1,1,0.07177357214357798,0.2776276899530464
SBIN.NS,STATE BANK OF INDIA,14897,ANANT RAJ LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,-0.06873400882367187,-0.57237659010562
SBIN.NS,STATE BANK OF INDIA,15270,ANDHRA PAPER LTD.,NSE,0.247401023,0.00161674,True,Public,1,1,0.035341334187178684,0.23653771034461182
SBIN.NS,STATE BANK OF INDIA,15270,ANDHRA PAPER LTD.,NSE,0.247401023,0.00161674,True,Public,0,1,0.26131628365679993,2.0388169484632117
SBIN.NS,STATE BANK OF INDIA,15246,ANDHRA PETROCHEMICALS LTD.,BSE,0.247401023,0.00161674,True,Public,0,0,0.012446320879086774,0.12499903862865556
SBIN.NS,STATE BANK OF INDIA,15246,ANDHRA PETROCHEMICALS LTD.,BSE,0.247401023,0.00161674,True,Public,1,0,0.0559222127937497,0.5876000125639675
SBIN.NS,STATE BANK OF INDIA,16198,ANJANI SYNTHETICS LTD.,BSE,0.247401023,0.00161674,True,Public,1,0,0.023591524413670576,0.4973026300508183
SBIN.NS,STATE BANK OF INDIA,16198,ANJANI SYNTHETICS LTD.,BSE,0.247401023,0.00161674,True,Public,0,0,-0.03103336256229102,-0.46290679206319696
SBIN.NS,STATE BANK OF INDIA,17809,APCOTEX INDUSTRIES LTD.,NSE,0.247401023,0.00161674,True,Public,1,0,-0.06262233127664851,-0.33638152898861867
SBIN.NS,STATE BANK OF INDIA,17809,APCOTEX INDUSTRIES LTD.,NSE,0.247401023,0.00161674,True,Public,0,1,0.8742285834289651,4.0093222168983225
SBIN.NS,STATE BANK OF INDIA,457276,APOLLO MICRO SYSTEMS LTD.,NSE,0.247401023,0.00161674,True,Public,1,0,-0.10637149521876414,-1.1170458446621725
